codeId,code,id,name,source,version
173,173,ControllerEngineRetarderId,Controller 173 - Engine retarder,SourceJ1708Id,000000000000006d
174,174,ControllerCrankingStartingSystemId,Controller 174 - Cranking/starting system,SourceJ1708Id,000000000000006e
175,175,ControllerEngineNo2Id,Controller 175 - Engine #2,SourceJ1708Id,000000000000006f
176,176,ControllerTransmissionAdditionalHybridControlModuleId,C176 - Trans. additional hybrid control module,SourceJ1708Id,0000000000000070
177,177,ControllerParticulateTrapSystemId,Controller 177 - Particulate trap system,SourceJ1708Id,0000000000000071
178,178,ControllerVehicleSensorsToDataConverterId,Controller 178 - Vehicle sensors to data converter,SourceJ1708Id,0000000000000072
179,179,ControllerDataLoggingComputerId,Controller 179 - Data logging computer,SourceJ1708Id,0000000000000073
180,180,ControllerOffboardDiagnosticsNo2Id,Controller 180 - Off-board diagnostics #2,SourceJ1708Id,0000000000000074
181,181,ControllerCommunicationUnitSatelliteId,Controller 181 - Communication unit-satellite,SourceJ1708Id,0000000000000075
182,182,ControllerOffboardProgrammingStationId,Controller 182 - Off-board programming station,SourceJ1708Id,0000000000000076
183,183,ControllerEngineNo3Id,Controller 183 - Engine #3,SourceJ1708Id,0000000000000077
184,184,ControllerRearAxleSteeringControllerId,Controller 184 - Rear axle steering controller,SourceJ1708Id,0000000000000078
185,185,ControllerJ1708PneumaticSystemControllerId,Controller 185 - Pneumatic system controller,SourceJ1708Id,0000000000000079
186,186,ControllerTiresControlUnitId,Controller 186 - Tires control unit,SourceJ1708Id,000000000000007a
187,187,ControllerVehicleManagementSystemNo2Id,C187-HD:Veh. mngm't sys #2/MT:Veh. cntrl hd unit,SourceJ1708Id,000000000000007b
188,188,ControllerVehicleManagementSystemNo3Id,C188-HD:Veh. mngm't sys #3/MT:Veh. logic ctrl unit,SourceJ1708Id,000000000000007c
189,189,aMlRZ8gg6bEW-lV7xnWMcnQ,Controller 189 - Vehicle head signs,SourceJ1708Id,000000000000007d
190,190,aVhj-I-7up0uBTep3kR3YgQ,C190-Refrigerant mngmt protection and diagnostics,SourceJ1708Id,000000000000007e
191,191,aO-uLDw6GNUWp1SIhzUi0-g,C191-Vehicle location unit-differential correction,SourceJ1708Id,000000000000007f
192,192,a0BJUgJKCAUuGIkbzfLVwnw,Controller 192 - Front door (door #1) status unit,SourceJ1708Id,0000000000000080
193,193,a8BQmXqWQ30iuMuDuPvgEAw,Controller 193 - Middle door (door #2) status unit,SourceJ1708Id,0000000000000081
194,194,axBMh-YOECU6N9Kv-y56UeA,Controller 194 - Rear door (door #3) status unit,SourceJ1708Id,0000000000000082
195,195,aDvogXCT4WkWHp7QIrkZG4g,Controller 195 - Annunciator unit,SourceJ1708Id,0000000000000083
196,196,aZzLsUr0xmU-nbSJNLxK03w,Controller 196 - Fare collection unit,SourceJ1708Id,0000000000000084
197,197,alGIq-OSpa0CsTOecn0QXug,Controller 197 - Passenger counter unit #1,SourceJ1708Id,0000000000000085
