afterHoursDistance,afterHoursDrivingDuration,afterHoursEnd,afterHoursStart,afterHoursStopDuration,averageSpeed,distance,drivingDuration,engineHours,idlingDuration,isSeatBeltOff,maximumSpeed,nextTripStart,speedRange1,speedRange1Duration,speedRange2,speedRange2Duration,speedRange3,speedRange3Duration,start,stop,stopDuration,stopPoint,workDistance,workDrivingDuration,workStopDuration,device,driver,version,id
0.0,00:00:00,False,False,00:00:00,12.930439,4.013619,00:18:37.443000,5714640.0,00:00:02,False,41,2025-09-22 12:24:27.215000+00:00,0,00:00:00,0,00:00:00,0,00:00:00,2025-09-22 11:43:05.557000+00:00,2025-09-22 12:01:43+00:00,00:22:44.215999,"{'x': -3.930955171585083, 'y': 38.98324966430664}",4.013619,00:18:37.443000,00:22:44.215999,{'id': 'b103'},"{'id': 'b2FE', 'isDriver': True}",0000000001ececf5,b1400FC6
0.0,00:00:00,False,False,00:00:00,93.769936,165.21179,01:45:42.784000,5721120.0,00:00:01,False,149,2025-09-22 14:46:16.832000+00:00,21,00:14:08.078999,7,00:01:55.212000,2,00:00:26.087000,2025-09-22 12:24:27.216000+00:00,2025-09-22 14:10:10+00:00,00:36:06.832000,"{'x': -3.72329044342041, 'y': 38.14236068725586}",165.21179,01:45:42.784000,00:36:06.832000,{'id': 'b103'},"{'id': 'b2FE', 'isDriver': True}",0000000001ee4439,b140BBC6
14.243549,00:06:57,True,False,04:10:18,111.055626,38.257675,00:20:40.168000,5722360.168,00:00:00,False,147,2025-09-22 19:17:15+00:00,18,00:11:33.032000,11,00:02:28.739000,1,00:00:09.525000,2025-09-22 14:46:16.832000+00:00,2025-09-22 15:06:57+00:00,04:10:18,"{'x': -3.764117956161499, 'y': 37.84747314453125}",24.014126,00:13:43.168000,00:00:00,{'id': 'b103'},"{'id': 'b2FE', 'isDriver': True}",0000000001ef021e,b1411AF4
0.0,00:00:00,True,True,10:42:45,,0.0,00:00:00,5722360.168,00:00:00,False,0,2025-09-23 09:32:43.399000+00:00,0,00:00:00,0,00:00:00,0,00:00:00,2025-09-22 19:17:15+00:00,2025-09-22 19:17:15+00:00,14:15:28.399000,"{'x': -3.76442551612854, 'y': 37.848873138427734}",0.0,00:00:00,03:32:43.399000,{'id': 'b103'},"{'id': 'b2FE', 'isDriver': True}",0000000001f30963,b1431FF6
0.0,00:00:00,False,False,00:00:00,238.44731,8.915346,00:02:14.601000,5725080.0,00:01:30,False,5,2025-09-23 09:53:50.501000+00:00,0,00:00:00,0,00:00:00,0,00:00:00,2025-09-23 09:32:43.399000+00:00,2025-09-23 09:34:58+00:00,00:18:52.501000,"{'x': -3.789607286453247, 'y': 37.77126693725586}",8.915346,00:02:14.601000,00:18:52.501000,{'id': 'b103'},"{'id': 'b2FE', 'isDriver': True}",0000000001f366b2,b1434EB7
0.0,00:00:00,False,False,00:00:00,12.206683,1.1714991,00:05:45.499000,5725440.0,00:00:06,False,44,2025-09-23 10:05:11.403000+00:00,0,00:00:00,0,00:00:00,0,00:00:00,2025-09-23 09:53:50.501000+00:00,2025-09-23 09:59:36+00:00,00:05:35.403000,"{'x': -3.7930240631103516, 'y': 37.7742919921875}",1.1714991,00:05:45.499000,00:05:35.403000,{'id': 'b103'},"{'id': 'b2FE', 'isDriver': True}",0000000001f38ab7,b14360C9
0.0,00:00:00,False,False,00:00:00,18.854958,4.0359926,00:12:50.597000,5726520.0,00:04:28,False,55,2025-09-23 11:30:06.329000+00:00,0,00:00:00,0,00:00:00,0,00:00:00,2025-09-23 10:05:11.403000+00:00,2025-09-23 10:18:02+00:00,01:12:04.329000,"{'x': -3.791787624359131, 'y': 37.793766021728516}",4.0359926,00:12:50.597000,01:12:04.329000,{'id': 'b103'},"{'id': 'b2FE', 'isDriver': True}",0000000001f489c4,b143E09E
0.0,00:00:00,False,False,00:00:00,3.4097576,0.018631484,00:00:19.671000,5726520.0,00:00:17,False,15,2025-09-23 11:31:06.562000+00:00,0,00:00:00,0,00:00:00,0,00:00:00,2025-09-23 11:30:06.329000+00:00,2025-09-23 11:30:26+00:00,00:00:40.562000,"{'x': -3.792008876800537, 'y': 37.79373550415039}",0.018631484,00:00:19.671000,00:00:40.562000,{'id': 'b103'},"{'id': 'b2FE', 'isDriver': True}",0000000001f48b05,b143E140
0.0,00:00:00,False,False,00:00:00,18.14037,2.6153324,00:08:39.019000,5726880.0,00:00:00,False,52,2025-09-23 11:44:09.082000+00:00,0,00:00:00,0,00:00:00,0,00:00:00,2025-09-23 11:31:06.562000+00:00,2025-09-23 11:39:45.581000+00:00,00:04:23.501000,"{'x': -3.7883408069610596, 'y': 37.77117919921875}",2.6153324,00:08:39.019000,00:04:23.501000,{'id': 'b103'},"{'id': 'b2FE', 'isDriver': True}",0000000001f4baba,b143F92A
0.0,00:00:00,False,False,00:00:00,144.19626,0.036770046,00:00:00.918000,5727344.918,00:07:44,False,0,2025-09-23 11:51:54+00:00,0,00:00:00,0,00:00:00,0,00:00:00,2025-09-23 11:44:09.082000+00:00,2025-09-23 11:44:10+00:00,00:07:44,"{'x': -3.7884888648986816, 'y': 37.77086639404297}",0.036770046,00:00:00.918000,00:07:44,{'id': 'b103'},"{'id': 'b2FE', 'isDriver': True}",0000000001f4d4eb,b144064F
0.0,00:00:00,False,False,00:00:00,7.6779227,0.8531025,00:06:40,5727960.0,00:00:04,False,26,2025-09-23 12:40:05.079000+00:00,0,00:00:00,0,00:00:00,0,00:00:00,2025-09-23 11:51:54+00:00,2025-09-23 11:58:34+00:00,00:41:31.079000,"{'x': -3.7930901050567627, 'y': 37.774688720703125}",0.8531025,00:06:40,00:41:31.079000,{'id': 'b103'},"{'id': 'b2FE', 'isDriver': True}",0000000001f56774,b1444FC2
0.0,00:00:00,False,False,04:19:31.748000,26.15878,6.1104074,00:14:00.921000,5728680.0,00:00:01,False,68,2025-09-23 19:19:31.748000+00:00,0,00:00:00,0,00:00:00,0,00:00:00,2025-09-23 12:40:05.079000+00:00,2025-09-23 12:54:06+00:00,06:25:25.748000,"{'x': -3.744379997253418, 'y': 37.75060272216797}",6.1104074,00:14:00.921000,02:05:54,{'id': 'b103'},"{'id': 'b2FE', 'isDriver': True}",0000000001f7db77,b1458A8E
0.032284446,00:00:21.252000,True,True,00:08:50,5.46885,0.032284446,00:00:21.252000,5729231.252,00:08:50,False,0,2025-09-23 19:28:43+00:00,0,00:00:00,0,00:00:00,0,00:00:00,2025-09-23 19:19:31.748000+00:00,2025-09-23 19:19:53+00:00,00:08:50,"{'x': -3.7442128658294678, 'y': 37.75086212158203}",0.0,00:00:00,00:00:00,{'id': 'b103'},"{'id': 'b2FE', 'isDriver': True}",0000000001f7dc82,b1458B14
6.5349283,00:14:15,True,True,10:17:02,27.515488,6.5349283,00:14:15,5730120.0,00:00:11,False,81,2025-09-24 06:26:09.796000+00:00,0,00:00:00,0,00:00:00,0,00:00:00,2025-09-23 19:28:43+00:00,2025-09-23 19:42:58+00:00,10:43:11.796000,"{'x': -3.7931172847747803, 'y': 37.7746696472168}",0.0,00:00:00,00:26:09.796000,{'id': 'b103'},"{'id': 'b2FE', 'isDriver': True}",0000000001f89128,b145E5B2
0.0,00:00:00,False,False,00:00:00,66.229675,22.411459,00:20:18.204000,5731898.204,00:09:20,False,138,2025-09-24 06:55:48+00:00,6,00:03:33.642000,1,00:00:39.500000,0,00:00:00,2025-09-24 06:26:09.796000+00:00,2025-09-24 06:46:28+00:00,00:09:20,"{'x': -3.6262552738189697, 'y': 37.67830276489258}",22.411459,00:20:18.204000,00:09:20,{'id': 'b103'},"{'id': 'b2FE', 'isDriver': True}",0000000001f92ead,b14634A5
0.0,00:00:00,False,False,00:00:00,96.92878,178.34895,01:50:24,5738400.0,00:02:43,False,144,2025-09-24 13:06:04+00:00,47,00:32:25.336000,29,00:11:12.645000,0,00:00:00,2025-09-24 06:55:48+00:00,2025-09-24 08:46:12+00:00,04:19:52,"{'x': -3.2006499767303467, 'y': 36.790504455566406}",178.34895,01:50:24,04:19:52,{'id': 'b103'},"{'id': 'b2FE', 'isDriver': True}",0000000001fe20a1,b148AF1D
0.0,00:00:00,False,False,00:00:00,72.32487,37.769653,00:31:20,5740560.0,00:00:02,False,149,2025-09-24 14:08:16.039000+00:00,6,00:02:18.883999,7,00:02:33.981000,1,00:00:05.972000,2025-09-24 13:06:04+00:00,2025-09-24 13:37:24+00:00,00:30:52.039000,"{'x': -3.4263439178466797, 'y': 36.70042419433594}",37.769653,00:31:20,00:30:52.039000,{'id': 'b103'},"{'id': 'b2FE', 'isDriver': True}",0000000001fefcdf,b1491D79
65.91821,00:35:41.964000,True,False,00:01:30.200999,105.48596,153.7143,01:27:25.925000,5745600.0,00:00:00,False,140,2025-09-24 15:37:12.164000+00:00,41,00:41:41.333000,28,00:08:27.840000,0,00:00:00,2025-09-24 14:08:16.039000+00:00,2025-09-24 15:35:41.964000+00:00,00:01:30.200999,"{'x': -3.6967263221740723, 'y': 37.743858337402344}",87.79608,00:51:43.960999,00:00:00,{'id': 'b103'},"{'id': 'b2FE', 'isDriver': True}",0000000001ffeb0a,b14994CD
7.2063622,00:07:03.835000,True,True,04:15:41.289000,61.209915,7.2063622,00:07:03.835000,5746320.0,00:00:02,False,94,2025-09-24 19:59:57.289000+00:00,0,00:00:00,0,00:00:00,0,00:00:00,2025-09-24 15:37:12.165000+00:00,2025-09-24 15:44:16+00:00,04:15:41.289000,"{'x': -3.744424343109131, 'y': 37.750579833984375}",0.0,00:00:00,00:00:00,{'id': 'b103'},"{'id': 'b2FE', 'isDriver': True}",0000000002007c4d,b149DD97
